region,year,population,employment_rate,average_house_price,rental_index,housing_completions,population_growth_rate,employment_rate_growth_rate,average_house_price_growth_rate,rental_index_growth_rate,housing_completions_growth_rate,population_change
East Midlands,2005,4329112.0,73.9,134854.58,89.3,16890.0,0.88,0.54,7.3,,9.18,37636.0
East Midlands,2006,4366676.0,74.3,141114.08,91.5,17990.0,0.87,0.54,4.64,2.46,6.51,37564.0
East Midlands,2007,4404774.0,73.7,150050.0,93.4,17710.0,0.87,-0.81,6.33,2.08,-1.56,38098.0
East Midlands,2008,4441125.0,73.6,141558.42,95.4,11840.0,0.83,-0.14,-5.66,2.14,-33.15,36351.0
East Midlands,2009,4471653.0,72.2,129146.92,95.6,11290.0,0.69,-1.9,-8.77,0.21,-4.65,30528.0
East Midlands,2010,4507071.0,70.8,135330.25,94.7,10580.0,0.79,-1.94,4.79,-0.94,-6.29,35418.0
East Midlands,2011,4537448.0,70.8,132888.17,95.4,9990.0,0.67,0.0,-1.8,0.74,-5.58,30377.0
East Midlands,2012,4570702.0,71.4,133491.67,97.0,9910.0,0.73,0.85,0.45,1.68,-0.8,33254.0
East Midlands,2013,4604568.0,71.5,136368.08,98.1,10040.0,0.74,0.14,2.15,1.13,1.31,33866.0
East Midlands,2014,4642629.0,73.5,145584.33,99.2,12410.0,0.83,2.8,6.76,1.12,23.61,38061.0
East Midlands,2015,4681640.0,73.8,153653.83,100.9,13820.0,0.84,0.41,5.54,1.71,11.36,39011.0
East Midlands,2016,4731615.0,74.7,163698.0,103.4,14670.0,1.07,1.22,6.54,2.48,6.15,49975.0
East Midlands,2017,4778346.0,74.1,173556.0,106.2,14710.0,0.99,-0.8,6.02,2.71,0.27,46731.0
East Midlands,2018,4815151.0,74.7,182655.33,109.1,15890.0,0.77,0.81,5.24,2.73,8.02,36805.0
East Midlands,2019,4844001.0,76.9,185853.33,111.4,16390.0,0.6,2.95,1.75,2.11,3.15,28850.0
East Midlands,2020,4855469.0,75.5,192310.67,114.0,14230.0,0.24,-1.82,3.47,2.33,-13.18,11468.0
East Midlands,2021,4881559.0,74.1,209216.17,117.0,17500.0,0.54,-1.85,8.79,2.63,22.98,26090.0
